proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Package\Imports.vb,356,85,44,227,3,6,4,8,0,14969,14.97 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Package\Require.vb,197,114,17,66,1,4,3,3,0,9589,9.59 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\BreakLoop.vb,25,0,6,19,1,2,0,2,0,746,746 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\ContinuteFor.vb,28,3,6,19,1,2,0,2,0,805,805 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\ForLoop.vb,208,39,30,139,1,5,1,7,0,7763,7.76 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\WhileLoop.vb,70,0,13,57,1,3,1,2,0,2317,2.32 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\Closure\AcceptorClosure.vb,48,0,8,40,1,1,1,1,0,1879,1.88 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\Closure\ByRefFunctionCall.vb,100,6,20,74,1,3,1,4,0,3871,3.87 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\Closure\ClosureExpression.vb,81,5,13,63,1,4,1,4,0,2813,2.81 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\Closure\DeclareLambdaFunction.vb,241,40,34,167,1,6,1,11,0,9606,9.61 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\Closure\DeclareNewFunction.vb,396,135,46,215,1,7,2,9,0,17716,17.72 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\Closure\FunctionInvoke.vb,443,119,49,275,1,6,3,12,0,18295,18.30 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\Closure\RepeatClosure.vb,52,0,13,39,1,3,1,1,0,1640,1.64 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\Closure\SwitchExpression.vb,58,0,10,48,1,2,2,1,0,1974,1.97 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\Closure\TryCatchExpression.vb,84,3,12,69,1,2,2,1,0,3134,3.13 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\Closure\UsingClosure.vb,100,16,14,70,1,3,1,3,0,3709,3.71 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\If\ElseBranch.vb,79,0,15,64,1,3,2,2,0,2635,2.63 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\If\ElseIfBranch.vb,54,1,10,43,1,1,1,1,0,2087,2.09 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\If\IfBranch.vb,101,0,15,86,1,5,2,2,0,3837,3.84 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\If\IfPromise.vb,45,9,7,29,1,4,1,2,0,1672,1.67 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Turing\If\IIfExpression.vb,65,12,10,43,1,3,1,2,0,2290,2.29 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\ExecutableContext.vb,64,6,11,47,1,2,3,2,0,2314,2.31 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\Expression.vb,18,8,4,6,1,0,0,0,0,493,493 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\NamespaceDoc.vb,8,3,1,4,1,0,0,0,0,195,195 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\DataSet\AliasName.vb,29,0,6,23,1,3,1,2,0,877,877 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\DataSet\DataFrameDataSet.vb,29,7,7,15,1,1,0,1,0,875,875 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\DataSet\DataSet.vb,49,5,7,37,1,0,0,2,0,2070,2.07 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Linq\DataSet\ErrorDataSet.vb,16,4,4,8,1,1,0,1,0,432,432 B
